Country,CMX1810 (units),CMX2408(units),S300 (units),S120 (units),SC75 (units)
Australia,120,140,,20,
Austria,20,10,,,
Belgium,5,5,,,
Canada,,5,5,20,250
China,40,40,,,
Hong Kong,20,10,,,
Taiwan,30,20,,,
Czech Republic,10,10,,,
Denmark,10,10,,,
Finland,5,10,3,10,2
France,80,60,10,45,4
Germany,90,80,10,40,2
Greece,10,5,,,
Indonesia,,10,90,20,
Italy,20,30,,20,2
Malaysia,5,15,60,30,
Netherlands,10,10,75,20,20
New Caledonia,2,5,,,
New Zealand,90,60,,,
Norway,,,40,20,10
Philippines,30,25,,,
Poland,,15,,,
South Korea,30,30,,,
Romania,5,5,,,
Singapore,2,5,,,
Spain,15,25,,,
Sweden,15,20,20,120,20
Switzerland,,5,30,80,10
Thailand,25,20,,,
United Kingdom,,,40,40,
United States,25,35,25,50,1200
Vietnam,10,25,,,
